FID_main__,DN,area,perimeter,FID_Pond_W,Shape_Leng,Shape_Area,Watershed_,Percent_Pe,Percent_Im,Calc_Area,
156820,255,23.75976563,21.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,23.75571641,
156823,255,16.19970703,18,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,16.19707486,
156833,255,15.11987305,19.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,15.11726552,
156836,255,11.88037109,16.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,11.87783713,
156842,255,0.719970703,3.599999999,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,0.719867308,
156843,255,0.719970703,3.599999999,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,0.719869147,
156876,255,2.880126953,8.399999999,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,2.879475006,
156877,255,7.560058594,14.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,7.558632319,
156878,255,6.119873047,13.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,6.118936335,
156905,255,28.43994141,26.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,28.43485405,
156906,255,109.0793457,67.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,109.0603193,
156991,255,23.76025391,24,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,23.75570378,
157003,255,183.6003418,84,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,183.5658027,
157012,255,12.95996094,16.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,12.95775179,
157077,255,30.59985352,26.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,30.59446798,
157132,255,123.4797363,76.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,98.34171944,
157255,255,268.9206543,120,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,31.56138854,
157348,255,57.60009766,40.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,57.58929968,
157507,255,19.07983398,21.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,19.07655773,
157522,255,29.88012695,25.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,29.87461225,
157624,255,438.4780273,225.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,438.3984978,
